Cuenta,"Tag
1","Tag
2","Tag
3","Tag
4","Tag
5","Tag
6","Tag
7","Tag
8","Tag
9","Tag
10","Tag
11","Tag
12"
212410,EquityAndLiabilities,Liabilities,OtherFinancialLiabilities,,,,,NetAssetsLiabilities,,,,
221010,EquityAndLiabilities,Liabilities,OtherFinancialLiabilities,,,,,NetAssetsLiabilities,,,,
222005,EquityAndLiabilities,Liabilities,OtherFinancialLiabilities,,,,,NetAssetsLiabilities,,,,
222030,EquityAndLiabilities,Liabilities,OtherFinancialLiabilities,,,,,NetAssetsLiabilities,,,,
225005,EquityAndLiabilities,Liabilities,OtherFinancialLiabilities,,,,,NetAssetsLiabilities,,,,
225015,EquityAndLiabilities,Liabilities,OtherFinancialLiabilities,,,,,NetAssetsLiabilities,,,,
225020,EquityAndLiabilities,Liabilities,OtherFinancialLiabilities,,,,,NetAssetsLiabilities,,,,
225040,EquityAndLiabilities,Liabilities,OtherFinancialLiabilities,,,,,NetAssetsLiabilities,,,,
225045,EquityAndLiabilities,Liabilities,OtherFinancialLiabilities,,,,,NetAssetsLiabilities,,,,
243505,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
249005,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
250105,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
250110,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
250195,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
250205,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
250225,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
250295,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
250305,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
250340,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
250705,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
251905,EquityAndLiabilities,Liabilities,TradeAndOtherPayables,,,,,NetAssetsLiabilities,,,,
