Compañia,Desc. compañia,Auxiliar,Desc. auxiliar,Tercero,C.Costo,C.O. ,U.N.,Desc. Moneda alt.,Saldo inicial,Saldo final,Unnamed: 11,SCOA6DIG,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
10,FIC DIVERSIFICADO MODERADO,512917020,VALORACION FUTUROS DE MONEDAS,,,1,99,PESOS,"0,0","389639500,0",,512917,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,,,,
10,FIC DIVERSIFICADO MODERADO,514005011,IMPOVENTAS,,,1,99,PESOS,"0,0","570295,38",,514005,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Gravamen a los movimientos financieros,Impuestos y tasas,,
10,FIC DIVERSIFICADO MODERADO,519095004,MERCADO ELECTRONICO COLOMBIANO (MEC),,,1,99,PESOS,"0,0","2900555,98",,519095,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Otros gastos de operación,,,
10,FIC DIVERSIFICADO MODERADO,519095006,CUENTA DE DEPOSITO (CUD),,,1,99,PESOS,"0,0","1707864,76",,519095,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Otros gastos de operación,,,
10,FIC DIVERSIFICADO MODERADO,519095007,SAE CUSTODIO,,,1,99,PESOS,"0,0","110092,59",,519095,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Otros gastos de operación,,,
10,FIC DIVERSIFICADO MODERADO,519095999,OTROS,,,1,99,PESOS,"0,0","0,75",,519095,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Otros gastos de operación,,,
10,FIC DIVERSIFICADO MODERADO,590505010,CANCELACION DE INGRESOS RF,,,1,99,PESOS,"0,0","838616110,6",,590505,Total pasivo + patrimonio,Patrimonio,,,,,,,
10,FIC DIVERSIFICADO MODERADO,590505020,UTILIDAD/PERDIDA PAGADA EN REDENCIONES,,,1,99,PESOS,"0,0","1004410493,88",,590505,Total pasivo + patrimonio,Patrimonio,,,,,,,
141,FCP TEKA COLOMBIA I - COMPARTIMIENTO LP,514005010,IMPUESTO A LOS MOVIMIENTOS FINANCIEROS  ,,,1,99,PESOS,"0,0","3475495,79",,514005,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Gravamen a los movimientos financieros,Impuestos y tasas,,
141,FCP TEKA COLOMBIA I - COMPARTIMIENTO LP,514005011,IMPOVENTAS                              ,,,1,99,PESOS,"0,0","17452996,49",,514005,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Gravamen a los movimientos financieros,Impuestos y tasas,,
141,FCP TEKA COLOMBIA I - COMPARTIMIENTO LP,514005015,IVA COMISION GESTOR PROFESIONAL,,,1,99,PESOS,"0,0","93787457,43",,514005,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Gravamen a los movimientos financieros,Impuestos y tasas,,
141,FCP TEKA COLOMBIA I - COMPARTIMIENTO LP,810505205,EMISORES NACIONALES                     ,,,1,99,PESOS,"4554749570,02","2963164830,82",,810505,,,,,,,,,
141,FCP TEKA COLOMBIA I - COMPARTIMIENTO LP,840505998,ACREEDORAS POR CONTRA PESOS,,,1,99,PESOS,"118000000000,0","118000000000,0",,840505,,,,,,,,,
152,FCP INVERSOR COMPARTIMIENTO A,111505005,(IA) BANCOLOMBIA Cta No.69000001708,,,1,99,PESOS,"11,6","10012,67",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
152,FCP INVERSOR COMPARTIMIENTO A,161620010,INTERESES,,,1,99,PESOS,"373834512,98","0,0",,161620,Activo,,Activo Corriente,Cuentas por cobrar,Deudores,,,,
152,FCP INVERSOR COMPARTIMIENTO A,161695005,(IA) BANCOLOMBIA Cta cau No.69000001708,,,1,99,PESOS,"0,0","27,0",,161695,Activo,,Activo Corriente,Cuentas por cobrar,Deudores,,,,
152,FCP INVERSOR COMPARTIMIENTO A,192595015,COMISION DE GESTION,,,1,99,PESOS,"0,0","44081186,5",,192595,Activo,,Activo Corriente,Otros activos,Gatos pagados por anticipados,,,,
152,FCP INVERSOR COMPARTIMIENTO A,352505010,PARTICIPACIONES EN FDO DE INVERSIÓN COLE,,,1,99,PESOS,"-25853491187,13","-25142998157,12",,352505,Total pasivo + patrimonio,Patrimonio,,Patrimonio especiales,Participaciones en fondos de inversión colectiva,,,,
152,FCP INVERSOR COMPARTIMIENTO A,411495005,(IA) BANCOLOMBIA Cta cau No.69000001708,,,1,99,PESOS,"0,0","-28,07",,411495,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Otros rendimientos financieros,,,,
152,FCP INVERSOR COMPARTIMIENTO A,510805010,POR DISMINUCION EN EL VALOR DE MERCADO,,,1,99,PESOS,"0,0","1293134060,37",,510805,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Disminución en el valor de mercado Inst. de Pat.,,,
152,FCP INVERSOR COMPARTIMIENTO A,511325010,COMISION CUSTODIA FIJA,,,1,99,PESOS,"0,0","2850325,17",,511325,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Comisión custodia fija,,,
152,FCP INVERSOR COMPARTIMIENTO A,513015003,REVISORIA FISCAL,,,1,99,PESOS,"0,0","4791715,91",,513015,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Revisoría Fiscal,,,
152,FCP INVERSOR COMPARTIMIENTO A,513095090,OTROS HONORARIOS,,,1,99,PESOS,"0,0","16261,0",,513095,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Otros honorarios,,,
152,FCP INVERSOR COMPARTIMIENTO A,514005010,IMPUESTO A LOS MOVIMIENTOS FINANCIEROS,,,1,99,PESOS,"0,0","1094389,61",,514005,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Gravamen a los movimientos financieros,Impuestos y tasas,,
152,FCP INVERSOR COMPARTIMIENTO A,590505015,CANCELACION DE INGRESOS RV,,,1,99,PESOS,"0,0","-675683371,06",,590505,Total pasivo + patrimonio,Patrimonio,,,,,,,
152,FCP INVERSOR COMPARTIMIENTO A,810505205,EMISORES NACIONALES,,,1,99,PESOS,"25583437849,32","24353687823,71",,810505,,,,,,,,,
152,FCP INVERSOR COMPARTIMIENTO A,829595998,OTRAS CUENTAS DE ORDEN ACREEDORAS PESOS,,,1,99,PESOS,"-22410000000,0","-22410000000,0",,829595,,,,,,,,,
165,FCP INVERSOR COMPARTIMENTO B,111505425,(IN) BANCOLOMBIA Cta No.04872908574     ,,,1,99,PESOS,"8230823,93","22566602,47",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
165,FCP INVERSOR COMPARTIMENTO B,136000010,INVERSIONES DERECHOS FIDUCIARIOS,,,1,99,PESOS,"1110168441,3","0,0",,136000,Activo,,Activo no corriente,Inversiones a valor razonable con efectos en resultados,Inversiones derechos fiduciarios,,,Inversiones,
